#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
35,Switzerland,"3,364,107",,"13,603 ",,"2,674,302",,"676,202",159,"383,876","1,552","19,955,835","2,277,148","8,763,521 ",Europe,36440,,,"77,161"
36,Denmark,"2,878,831",,"5,486 ",,"2,764,395",,"108,950",27,"494,025",941,"126,608,338","21,726,762","5,827,299 ",Europe,"21,0620",,,"18,696"
37,Greece,"2,861,993",,"27,083 ",,"2,577,597",,"257,313",338,"276,910","2,620","71,992,674","6,965,604","10,335,453 ",Europe,43820,,,"24,896"
38,Romania,"2,827,936",,"64,789 ",,"2,606,660",,"156,487",431,"148,707","3,407","21,857,638","1,149,381","19,016,885 ",Europe,72941,,,"8,229"
39,Sweden,"2,475,687",,"18,020 ",,"2,413,574",,"44,093",32,"242,533","1,765","18,382,831","1,800,893","10,207,618 ",Europe,45661,,,"4,320"
40,Iraq,"2,316,758",,"25,134 ",,"2,276,119",,"15,505",68,"55,459",602,"18,257,537","437,051","41,774,432 ",Asia,"181,6622",,,371
41,Serbia,"1,962,013",,"15,718 ",,"1,908,271",,"38,024",43,"226,121","1,811","9,076,734","1,046,091","8,676,815 ",Europe,45521,,,"4,382"
42,Bangladesh,"1,950,980",,"29,118 ",,"1,873,766",,"48,096","1,264","11,647",174,"13,750,604","82,087","167,512,227 ",Asia,"865,75312",,,287
43,Hungary,"1,836,919","+2,651","45,220 ",+35,"1,689,460","+3,141","102,239",71,"190,985","4,702","11,040,273","1,147,859","9,618,144 ",Europe,52131,276,4,"10,630"
44,Jordan,"1,689,314",,"14,003 ",,"1,668,852",,"6,459",276,"162,788","1,349","16,575,546","1,597,273","10,377,400 ",Asia,67411,,,622
45,Slovakia,"1,666,482","+9,649","19,209 ",+24,"1,527,325","+12,042","119,948",203,"304,982","3,515","6,782,808","1,241,319","5,464,192 ",Europe,32841,"1,766",4,"21,952"
46,Georgia,"1,644,711",+599,"16,688 ",+7,"1,608,441","+3,846","19,582",,"413,661","4,197","16,262,859","4,090,266","3,975,991 ",Asia,22380,151,2,"4,925"
47,Pakistan,"1,523,072",+210,"30,333 ",,"1,484,676",+180,"8,063",445,"6,672",133,"27,268,079","119,456","228,268,399 ",Asia,"1507,5258",0.9,,35
48,Ireland,"1,404,929",,"6,685 ",,"1,270,093",,"128,151",55,"279,161","1,328","11,670,408","2,318,927","5,032,676 ",Europe,47530,,,"25,464"
49,Norway,"1,390,035",,"2,339 ",,N/A,N/A,N/A,20,"253,001",426,"9,852,076","1,793,185","5,494,177 ",Europe,"42,3491",,,"236,386"
50,Kazakhstan,"1,304,961",+12,"13,656 ",,"1,285,329",+229,"5,976",528,"68,098",713,"11,575,012","604,027","19,163,085 ",Asia,"151,4032",0.6,,312
51,Morocco,"1,162,686",,"16,055 ",,"1,146,060",,571,293,"30,871",426,"11,237,010","298,355","37,663,197 ",Africa,"322,3463",,,15
52,Bulgaria,"1,129,641",,"36,375 ",,"902,012",,"191,254",233,"164,708","5,304","9,511,193","1,386,785","6,858,449 ",Europe,61891,,,"27,886"
53,Lebanon,"1,089,419",,"10,263 ",,"1,039,011",,"40,145",186,"160,851","1,515","4,795,578","708,059","6,772,853 ",Asia,66601,,,"5,927"
54,Hong Kong,"1,088,150",,"6,569 ",,N/A,N/A,N/A,115,"143,147",864,"36,260,319","4,770,072","7,601,629 ",Asia,"71,1570",,,"140,542"
55,Croatia,"1,087,635",,"15,476 ",,"1,061,446",,"10,713",43,"267,778","3,810","4,636,561","1,141,530","4,061,708 ",Europe,42621,,,"2,638"
56,Cuba,"1,083,691",,"8,508 ",,"1,071,691",,"3,492",23,"95,777",752,"12,920,253","1,141,898","11,314,720 ",North America,"101,3301",,,309
57,Singapore,"1,044,661",,"1,220 ",,"1,009,408",,"34,033",18,"176,180",206,"23,477,384","3,959,417","5,929,506 ",Asia,"64,8600",,,"5,740"
58,Tunisia,"1,033,731",,"28,165 ",,N/A,N/A,N/A,63,"85,920","2,341","4,500,701","374,080","12,031,377 ",Africa,124273,,,-46.05
59,Lithuania,"1,006,330","+3,723","8,788 ",+15,"928,106","+4,982","69,436",62,"378,755","3,308","8,006,870","3,013,564","2,656,944 ",Europe,33020,"1,401",6,"26,134"
60,Nepal,"978,265",,"11,951 ",,"963,861",,"2,453",100,"32,567",398,"5,517,174","183,673","30,038,097 ",Asia,"312,5135",,,82
61,Belarus,"953,901",,"6,747 ",,"928,536",,"18,618",,"101,006",714,"12,758,181","1,350,933","9,443,975 ",Europe,"101,4001",,,"1,971"
62,Slovenia,"946,340",,"6,454 ",,"903,596",,"36,290",55,"455,096","3,104","2,603,388","1,251,972","2,079,430 ",Europe,23221,,,"17,452"
63,Bolivia,"900,260",,"21,483 ",,"822,138",,"56,639",220,"75,355","1,798","2,682,016","224,494","11,946,927 ",South America,135564,,,"4,741"
64,UAE,"888,718",,"2,302  ",,"859,713",,"26,703",,"88,027",228,"145,740,412","14,435,495","10,095,976 ",Asia,"114,3860",,,"2,645"
65,Uruguay,"879,618",,"7,144 ",,"862,769",,"9,705",43,"251,719","2,044","5,924,427","1,695,384","3,494,445 ",South America,44891,,,"2,777"
66,Ecuador,"854,252",,"35,410 ",,N/A,N/A,N/A,759,"47,186","1,956","2,470,170","136,444","18,103,877 ",South America,215117,,,"20,712"
67,Finland,"834,038","+12,502","2,951 ",+3,"46,000",,"785,087",40,"150,128",531,"10,316,301","1,856,942","5,555,531 ",Europe,"71,8831","2,250",0.5,"141,316"
68,Costa Rica,"832,966",,"8,261 ",,"780,034",,"44,671",66,"160,986","1,597","3,913,872","756,428","5,174,150 ",North America,66261,,,"8,633"
